Name,Line,Treatment,Concentration,Day,boutd,sleepd,boutn,sleepn,wakeact,sleeplat,Sex
52_16_900,900,Chlorpromazine_Sonazine_,3,5,40,357,19,435,1.33179,35,Male
52_17_900,900,Chlorpromazine_Sonazine_,4,1,30,334,14,618,1.71926,7,Female
52_17_900,900,Chlorpromazine_Sonazine_,4,2,22,335,9,611,1.63765,9,Female
52_17_900,900,Chlorpromazine_Sonazine_,4,3,21,236,11,531,2.00892,22,Female
52_17_900,900,Chlorpromazine_Sonazine_,4,4,29,347,14,589,1.67262,0,Female
52_17_900,900,Chlorpromazine_Sonazine_,4,5,21,390,9,576,1.55063,4,Female
52_18_900,900,Chlorpromazine_Sonazine_,4,1,30,189,18,648,1.33831,4,Female
52_18_900,900,Chlorpromazine_Sonazine_,4,2,18,175,13,670,1.31597,9,Female
52_18_900,900,Chlorpromazine_Sonazine_,4,3,22,155,9,683,1.2309,8,Female
52_18_900,900,Chlorpromazine_Sonazine_,4,4,15,120,9,700,1.32581,10,Female
52_18_900,900,Chlorpromazine_Sonazine_,4,5,12,94,12,679,1.27736,8,Female
52_19_900,900,Chlorpromazine_Sonazine_,4,1,12,88,11,470,1.66667,21,Female
52_19_900,900,Chlorpromazine_Sonazine_,4,2,17,129,9,702,1.50082,6,Female
52_19_900,900,Chlorpromazine_Sonazine_,4,3,18,181,5,688,1.24518,10,Female
52_19_900,900,Chlorpromazine_Sonazine_,4,4,15,127,3,643,1.66119,75,Female
52_19_900,900,Chlorpromazine_Sonazine_,4,5,15,98,8,566,1.52964,13,Female
52_20_900,900,Chlorpromazine_Sonazine_,4,1,9,53,13,261,1.49911,79,Female
52_20_900,900,Chlorpromazine_Sonazine_,4,2,11,127,23,440,1.71478,58,Female
52_20_900,900,Chlorpromazine_Sonazine_,4,3,6,56,17,462,1.64859,57,Female
52_20_900,900,Chlorpromazine_Sonazine_,4,4,19,162,17,646,1.69778,20,Female
52_20_900,900,Chlorpromazine_Sonazine_,4,5,11,94,24,551,1.82642,32,Female
52_21_900,900,Chlorpromazine_Sonazine_,4,1,15,121,3,581,1.33062,62,Female
52_21_900,900,Chlorpromazine_Sonazine_,4,2,13,114,4,680,1.24768,36,Female
52_21_900,900,Chlorpromazine_Sonazine_,4,3,14,94,4,575,1.42153,91,Female
52_21_900,900,Chlorpromazine_Sonazine_,4,4,19,194,15,586,1.35152,92,Female
52_21_900,900,Chlorpromazine_Sonazine_,4,5,21,178,4,698,1.2695,19,Female
52_22_900,900,Chlorpromazine_Sonazine_,4,1,24,200,22,606,1.72397,30,Female
52_22_900,900,Chlorpromazine_Sonazine_,4,2,14,99,17,599,1.86658,58,Female
52_22_900,900,Chlorpromazine_Sonazine_,4,3,14,91,22,561,1.62944,11,Female
52_22_900,900,Chlorpromazine_Sonazine_,4,4,12,76,25,270,1.72852,38,Female
52_22_900,900,Chlorpromazine_Sonazine_,4,5,12,117,11,96,1.93236,68,Female
52_23_900,900,Chlorpromazine_Sonazine_,4,1,18,169,6,690,1.50602,19,Female
52_23_900,900,Chlorpromazine_Sonazine_,4,2,23,238,12,678,1.54389,16,Female
52_23_900,900,Chlorpromazine_Sonazine_,4,3,19,158,12,679,1.9403,12,Female
52_23_900,900,Chlorpromazine_Sonazine_,4,4,12,97,18,634,1.28914,11,Female
52_23_900,900,Chlorpromazine_Sonazine_,4,5,14,93,19,609,1.26152,9,Female
52_24_900,900,Chlorpromazine_Sonazine_,4,1,22,210,24,600,2.10794,15,Female
52_24_900,900,Chlorpromazine_Sonazine_,4,2,16,162,23,621,1.87062,16,Female
52_24_900,900,Chlorpromazine_Sonazine_,4,3,18,179,16,582,1.72312,10,Female
52_24_900,900,Chlorpromazine_Sonazine_,4,4,26,188,17,630,1.82476,10,Female
52_24_900,900,Chlorpromazine_Sonazine_,4,5,18,154,5,659,1.80064,37,Female
52_25_900,900,Chlorpromazine_Sonazine_,4,1,16,172,33,401,2.18916,54,Male
52_25_900,900,Chlorpromazine_Sonazine_,4,2,14,114,12,219,1.36585,45,Male
52_25_900,900,Chlorpromazine_Sonazine_,4,3,28,274,21,252,1.26477,27,Male
52_25_900,900,Chlorpromazine_Sonazine_,4,4,8,668,1,720,0.75,0,Male
52_25_900,900,Chlorpromazine_Sonazine_,4,5,1,720,1,720,0,0,Male
52_26_900,900,Chlorpromazine_Sonazine_,4,1,15,414,14,406,2.25806,48,Male
52_26_900,900,Chlorpromazine_Sonazine_,4,2,27,425,16,417,2.19231,119,Male
52_26_900,900,Chlorpromazine_Sonazine_,4,3,17,248,10,383,2.09023,170,Male
52_26_900,900,Chlorpromazine_Sonazine_,4,4,16,279,19,365,2.00879,180,Male
52_26_900,900,Chlorpromazine_Sonazine_,4,5,22,288,14,385,1.94785,178,Male
52_27_900,900,Chlorpromazine_Sonazine_,4,1,13,543,11,515,1.61518,72,Male
52_27_900,900,Chlorpromazine_Sonazine_,4,2,10,418,11,553,1.3113,84,Male
52_27_900,900,Chlorpromazine_Sonazine_,4,3,9,461,11,450,1.29301,51,Male
52_27_900,900,Chlorpromazine_Sonazine_,4,4,19,398,15,533,1.2554,75,Male
52_27_900,900,Chlorpromazine_Sonazine_,4,5,23,404,20,547,1.48671,12,Male
52_28_900,900,Chlorpromazine_Sonazine_,4,1,18,419,17,387,2.05836,61,Male
52_28_900,900,Chlorpromazine_Sonazine_,4,2,28,544,22,435,2.22993,122,Male
52_28_900,900,Chlorpromazine_Sonazine_,4,3,17,253,7,521,1.42192,109,Male
52_28_900,900,Chlorpromazine_Sonazine_,4,4,13,174,5,436,1.44217,141,Male
52_28_900,900,Chlorpromazine_Sonazine_,4,5,15,476,5,504,1.73261,101,Male
52_29_900,900,Chlorpromazine_Sonazine_,4,1,16,119,9,445,1.78995,36,Male
52_29_900,900,Chlorpromazine_Sonazine_,4,2,26,202,8,532,1.54674,117,Male
52_29_900,900,Chlorpromazine_Sonazine_,4,3,28,248,14,485,1.81612,92,Male
52_29_900,900,Chlorpromazine_Sonazine_,4,4,27,246,12,516,1.69764,87,Male
52_29_900,900,Chlorpromazine_Sonazine_,4,5,17,291,14,578,1.67776,91,Male
52_30_900,900,Chlorpromazine_Sonazine_,4,1,27,502,3,594,2.54942,43,Male
52_30_900,900,Chlorpromazine_Sonazine_,4,2,19,619,13,640,2.01105,63,Male
52_30_900,900,Chlorpromazine_Sonazine_,4,3,15,582,4,654,1.82843,55,Male
52_30_900,900,Chlorpromazine_Sonazine_,4,4,24,579,5,650,1.84834,58,Male
52_30_900,900,Chlorpromazine_Sonazine_,4,5,24,533,8,631,1.91667,67,Male
52_31_900,900,Chlorpromazine_Sonazine_,4,1,19,505,12,559,2.27394,52,Male
52_31_900,900,Chlorpromazine_Sonazine_,4,2,21,541,10,547,2.03977,94,Male
52_31_900,900,Chlorpromazine_Sonazine_,4,3,27,551,10,505,1.94792,123,Male
52_31_900,900,Chlorpromazine_Sonazine_,4,4,24,458,13,514,1.97009,112,Male
52_31_900,900,Chlorpromazine_Sonazine_,4,5,20,438,10,459,1.80663,143,Male
52_32_900,900,Chlorpromazine_Sonazine_,4,1,1,720,1,720,0,0,Male
52_32_900,900,Chlorpromazine_Sonazine_,4,2,1,720,1,720,0,0,Male
52_32_900,900,Chlorpromazine_Sonazine_,4,3,1,720,1,720,0,0,Male
52_32_900,900,Chlorpromazine_Sonazine_,4,4,1,719,1,720,1,0,Male
52_32_900,900,Chlorpromazine_Sonazine_,4,5,1,715,1,720,0.4,0,Male
53_1_900,900,Trifluoperazine2HCl_,1,1,17,204,13,473,1.92136,63,Female
53_1_900,900,Trifluoperazine2HCl_,1,2,21,262,16,457,1.957,41,Female
53_1_900,900,Trifluoperazine2HCl_,1,3,19,265,19,532,2.1804,42,Female
53_1_900,900,Trifluoperazine2HCl_,1,4,15,162,19,367,1.7135,178,Female
53_1_900,900,Trifluoperazine2HCl_,1,5,17,216,23,379,1.68994,31,Female
53_2_900,900,Trifluoperazine2HCl_,1,1,11,86,9,636,1.73677,4,Female
53_2_900,900,Trifluoperazine2HCl_,1,2,19,162,4,639,1.61346,5,Female
53_2_900,900,Trifluoperazine2HCl_,1,3,30,247,6,708,1.62268,5,Female
53_2_900,900,Trifluoperazine2HCl_,1,4,22,195,8,691,1.82671,6,Female
53_2_900,900,Trifluoperazine2HCl_,1,5,15,205,1,708,1.72106,12,Female
53_3_900,900,Trifluoperazine2HCl_,1,1,17,245,6,661,1.44757,18,Female
53_3_900,900,Trifluoperazine2HCl_,1,2,22,252,8,686,1.28884,12,Female
53_3_900,900,Trifluoperazine2HCl_,1,3,24,260,4,642,1.60781,11,Female
53_3_900,900,Trifluoperazine2HCl_,1,4,20,189,5,702,1.33151,6,Female
53_3_900,900,Trifluoperazine2HCl_,1,5,25,182,5,674,1.35274,11,Female
53_4_900,900,Trifluoperazine2HCl_,1,1,17,132,22,653,1.7084,12,Female
53_4_900,900,Trifluoperazine2HCl_,1,2,24,224,14,674,1.65867,0,Female
53_4_900,900,Trifluoperazine2HCl_,1,3,21,243,10,627,1.59474,7,Female
53_4_900,900,Trifluoperazine2HCl_,1,4,26,253,9,686,1.66267,10,Female
53_4_900,900,Trifluoperazine2HCl_,1,5,22,332,10,676,1.48611,11,Female
53_6_900,900,Trifluoperazine2HCl_,1,1,19,237,11,429,1.52842,58,Female
53_6_900,900,Trifluoperazine2HCl_,1,2,26,301,3,570,1.42179,22,Female
53_6_900,900,Trifluoperazine2HCl_,1,3,29,339,4,618,1.40166,43,Female
53_6_900,900,Trifluoperazine2HCl_,1,4,26,343,5,560,1.38175,64,Female
53_6_900,900,Trifluoperazine2HCl_,1,5,23,349,5,653,1.40183,60,Female
53_7_900,900,Trifluoperazine2HCl_,1,1,22,263,7,594,1.66895,74,Female
53_7_900,900,Trifluoperazine2HCl_,1,2,23,229,8,528,1.61933,24,Female
53_7_900,900,Trifluoperazine2HCl_,1,3,27,294,11,606,1.28148,0,Female
53_7_900,900,Trifluoperazine2HCl_,1,4,23,218,8,542,1.32059,18,Female
53_7_900,900,Trifluoperazine2HCl_,1,5,23,334,6,609,1.56539,19,Female
